,duration,mask_efficiency,lambda_home,pulmonary_vent_rate,quanta_gen_rate,recover_rate,school_start,school_end,no_of_simulations,init_students_per_class,plotting_sample_rate,time_step,door_open_fraction,window_open_fraction,wind_speed,wind_direction,ambient_temp,corridor_temp,classroom_temp,window_height,opening_method,method,contam_model_name,run name,backed up,movement_method
model_210930_13-54-43,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-00-22,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-05-53,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-11-22,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-16-52,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.5,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-22-27,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.6,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-28-01,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.7,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-33-39,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.8,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-39-12,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.9,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-44-45,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-50-17,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_14-55-57,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-01-34,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-07-06,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-12-48,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-18-25,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.5,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-23-59,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.6,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-29-33,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.7,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-35-06,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.8,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-40-53,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.9,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-46-34,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-52-06,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_15-57-42,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-03-18,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-08-50,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-14-26,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-20-04,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.5,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-25-36,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.6,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-31-13,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.7,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-36-48,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.8,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-42-22,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.9,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-48-00,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-53-39,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_16-59-22,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-05-07,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-10-56,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-16-49,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-22-40,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.5,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-28-30,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.6,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-34-17,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.7,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-40-02,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.8,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-45-37,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.9,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_17-51-19,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_005_q25,True,
model_210930_20-17-33,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,
model_210930_20-23-42,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,change_rooms_in_group
model_210930_20-29-57,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,
model_210930_20-36-08,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,change_rooms_in_group
model_210930_20-42-13,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,
model_210930_20-48-08,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,change_rooms_in_group
model_210930_20-54-09,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,
model_210930_21-00-08,5 days,0.0,0.0,0.54,5.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_001_q5,False,change_rooms_in_group
model_210930_20-17-06,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,
model_210930_20-22-45,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,change_rooms_in_group
model_210930_20-28-34,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,
model_210930_20-34-21,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,change_rooms_in_group
model_210930_20-40-01,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,
model_210930_20-45-48,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,change_rooms_in_group
model_210930_20-51-51,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,
model_210930_20-57-50,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_002_q10,False,change_rooms_in_group
model_210930_20-20-38,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,
model_210930_20-25-16,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,change_rooms_in_group
model_210930_20-30-02,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,
model_210930_20-34-45,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,change_rooms_in_group
model_210930_20-39-22,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,
model_210930_20-43-59,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,change_rooms_in_group
model_210930_20-48-39,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,
model_210930_20-53-25,5 days,0.0,0.0,0.54,25.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,0.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,movement_003_q25,False,change_rooms_in_group
model_210930_21-04-13,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.0,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-10-14,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-16-12,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-22-08,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-28-14,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-34-05,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.5,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-40-17,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.6,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-46-37,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.7,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-52-55,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.8,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_21-58-58,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.9,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-05-04,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,5.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-11-15,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.0,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-17-18,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-23-25,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-29-30,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-35-28,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-41-36,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.5,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-47-45,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.6,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-53-53,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.7,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_22-59-53,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.8,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-05-56,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.9,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-11-58,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,1.0,1.0,15.0,90.0,5.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-17-48,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.0,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-23-43,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.1,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-29-42,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.2,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-35-33,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.3,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-41-26,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.4,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-47-26,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.5,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-53-15,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.6,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_210930_23-59-03,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.7,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_211001_00-05-00,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.8,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
model_211001_00-10-43,5 days,0.0,0.0,0.54,10.0,0.0069444444444444,09:00:00,16:00:00,2000.0,30.0,10min,0 days 00:10:00,0.9,1.0,5.0,90.0,10.0,19.0,21.0,1.0,internal_doors_only_random,DTMC,school_corridor,door_008_90deg_q10,False,
